,Rank,Player Name,Country,Club
0,1.,Harry Kane,England,Tottenham Hotspur
1,2.,Mohamed Salah,Egypt,Liverpool
2,3.,Bruno Fernandes,Portugal,Manchester United
3,4.,Patrick Bamford,England,Leeds United
4,4.,Son Heung-Min,South Korea,Tottenham Hotspur
5,6.,Dominic Calvert-Lewin,England,Everton
6,7.,Jamie Vardy,England,Leicester City
7,8.,Ollie Watkins,England,Aston Villa
8,9.,Ilkay Gündogan,Germany,Manchester City
9,9.,Alexandre Lacazette,France,Arsenal
10,11.,Kelechi Iheanacho,Nigeria,Leicester City
11,11.,Danny Ings,England,Southampton
12,11.,Callum Wilson,England,Newcastle United
13,11.,Chris Wood,New Zealand,Burnley
14,15.,Gareth Bale,Wales,Tottenham Hotspur
15,15.,Matheus Pereira,Brazil,West Bromwich Albion
16,15.,Sadio Mané,Senegal,Liverpool
17,15.,Marcus Rashford,England,Manchester United
18,15.,Wilfried Zaha,[object Object],Crystal Palace
19,20.,Michail Antonio,England,West Ham United
